,a01,Savings in past year,Current Savings,Total Savings,Saving Frequency,Savings diversification
3467,2474.0,1,1,10000.0,1.0,1
3468,2475.0,0,0,0.0,0.0,1
3469,2476.0,0,0,0.0,0.0,1
3470,2477.0,1,1,10000.0,1.0,1
3471,2478.0,0,0,0.0,0.0,1
3472,2479.0,0,0,0.0,0.0,1
3473,2480.0,1,1,4200.0,6.0,1
3474,2481.1,1,0,0.0,0.0,1
3475,2481.2,0,0,0.0,0.0,1
3476,2481.3,1,0,0.0,0.0,1
3477,2482.0,1,1,100000.0,1.0,1
3478,2483.0,1,0,0.0,0.0,1
3479,2485.0,1,1,50000.0,1.0,1
3480,2486.0,0,0,0.0,0.0,1
3481,2487.0,0,0,0.0,0.0,1
3482,2488.0,0,0,0.0,0.0,1
3483,2489.0,0,0,0.0,0.0,1
3484,2490.0,1,1,100000.0,1.0,1
3485,2491.0,1,1,120000.0,1.0,3
3488,2492.0,1,1,500.0,1.0,1
3489,2493.0,0,0,0.0,0.0,1
3490,2494.0,0,0,0.0,0.0,1
3491,2495.0,0,0,0.0,0.0,1
3492,2496.0,1,0,0.0,0.0,1
3493,2497.0,1,1,15000.0,1.0,1
3495,2498.0,1,1,148000.0,2.0,2
3496,2499.0,0,0,0.0,0.0,1
3497,2500.0,1,1,140000.0,1.0,1
3498,2501.0,1,1,25000.0,1.0,2
3500,2502.0,1,1,115000.0,4.0,1
3501,2503.0,1,1,50000.0,1.0,1
3502,2504.0,1,1,28000.0,6.0,2
3504,2505.0,1,1,35000.0,1.0,1
3505,2507.0,1,1,20000.0,1.0,1
3506,2508.0,0,0,0.0,0.0,1
3507,2509.0,1,1,260.0,5.0,1
3508,2510.0,1,1,4000.0,1.0,1
3509,2511.1,1,1,24700.0,5.0,2
3511,2511.2,1,1,22700.0,5.0,2
3513,2512.1,1,1,8000.0,5.0,1
3514,2512.2,0,0,0.0,0.0,1
3515,2513.0,1,1,85000.0,1.0,1
3516,2514.0,1,1,49500.0,1.0,2
3518,2515.0,1,1,4800.0,6.0,2
3520,2516.0,1,1,40000.0,1.0,1
3521,2517.0,1,1,7000.0,1.0,1
3522,2518.0,1,1,100000.0,1.0,1
3523,2519.0,0,0,0.0,0.0,1
3524,2521.0,1,1,60000.0,1.0,1
3525,2522.0,0,0,0.0,0.0,1
3526,2523.0,0,0,0.0,0.0,1
3527,2524.1,1,1,850.0,6.0,1
3528,2524.2,1,1,55000.0,5.0,2
3530,2525.0,1,1,3000.0,6.0,1
3531,2526.0,0,0,0.0,0.0,1
3532,2527.0,1,1,15000.0,6.0,3
3535,2528.0,1,1,2200.0,6.0,1
3536,2529.0,0,0,0.0,0.0,1
3537,2530.0,1,1,2400.0,5.0,1
3538,2531.0,1,1,77500.0,1.0,2
3540,2532.0,0,0,0.0,0.0,1
3541,2533.0,1,1,100000.0,1.0,1
3542,2534.1,0,0,0.0,0.0,1
3543,2534.2,1,1,2100.0,6.0,1
3544,2535.0,1,1,60000.0,1.0,1
3545,2536.0,1,1,13800.0,5.0,2
3547,2537.0,1,1,200000.0,1.0,1
3548,2538.0,0,0,0.0,0.0,1
3549,2539.0,1,1,2200.0,6.0,1
3550,2540.0,0,0,0.0,0.0,1
3551,2541.0,0,0,0.0,0.0,1
3552,2542.0,1,1,13000.0,6.0,2
3554,2543.0,1,1,11200.0,6.0,2
3556,2544.0,1,0,0.0,0.0,1
3557,2546.1,1,1,21000.0,6.0,2
3559,2546.2,1,1,5000.0,5.0,1
3560,2547.0,1,1,79000.0,6.0,2
3562,2548.0,1,1,300.0,5.0,1
3564,2549.0,1,1,20000.0,6.0,2
3565,2550.0,0,0,0.0,0.0,1
3566,2551.1,1,0,0.0,0.0,1
3567,2551.2,1,1,50000.0,1.0,1
3568,2552.0,1,1,67000.0,5.0,2
3570,2553.0,0,0,0.0,0.0,1
3571,2554.0,0,0,0.0,0.0,1
3572,2555.0,1,1,5000.0,5.0,1
3573,2556.0,1,1,10000.0,5.0,1
3574,2557.0,1,1,17000.0,6.0,2
3576,2558.0,1,1,80000.0,1.0,1
3577,2559.0,1,1,8000.0,6.0,2
3580,2560.0,1,1,80500.0,1.0,2
3582,2561.0,1,1,107200.0,5.0,2
3583,2563.0,1,1,165000.0,5.0,2
3586,2564.1,1,1,61600.0,5.0,2
3587,2564.2,1,1,5000.0,6.0,1
3588,2565.0,0,0,0.0,0.0,1
3590,2566.0,1,1,74000.0,5.0,2
3591,2567.1,0,0,0.0,0.0,1
3592,2567.2,1,1,4040.0,5.0,1
3593,2568.0,1,1,26500.0,5.0,3
3596,2569.0,1,1,25000.0,1.0,1
3597,2570.0,1,1,2000.0,6.0,1
3598,2571.0,1,1,3000.0,6.0,1
3599,2572.0,1,1,48000.0,6.0,2
3601,2573.0,1,1,15000.0,6.0,4
3605,2574.0,1,1,55070.0,6.0,2
3607,2575.0,1,1,18000.0,5.0,1
3608,2576.0,1,1,53300.0,5.0,2
3610,2577.0,1,1,72200.0,5.0,2
3612,2578.0,0,0,0.0,0.0,1
3613,2579.0,0,0,0.0,0.0,1
3614,2582.0,1,1,53500.0,1.0,2
3616,2583.0,0,0,0.0,0.0,1
3617,2584.0,1,1,1900.0,6.0,1
3618,2585.0,1,1,420000.0,5.0,2
3620,2586.0,1,1,5450.0,6.0,1
3621,2587.0,1,0,0.0,0.0,1
3622,2588.0,1,0,0.0,0.0,1
3623,2589.0,1,0,0.0,0.0,1
3624,2590.0,1,1,1500.0,6.0,2
3626,2591.0,1,0,0.0,0.0,1
3627,2592.0,1,0,0.0,0.0,1
3628,2593.0,1,1,500.0,6.0,1
3629,2594.0,1,0,0.0,0.0,1
3630,2595.0,1,1,48000.0,5.0,2
3632,2596.0,0,0,0.0,0.0,1
3633,2597.0,1,1,100000.0,1.0,1
3634,2598.0,1,0,0.0,0.0,1
3635,2599.0,1,1,265000.0,1.0,1
3636,2600.0,1,1,3800.0,6.0,1
3637,2601.0,1,1,8000.0,6.0,1
3638,2602.0,1,1,7000.0,6.0,1
3639,2603.0,0,0,0.0,0.0,1
3640,2604.0,1,1,42100.0,6.0,3
3643,2605.0,1,1,4620.0,5.0,1
3644,2606.0,0,0,0.0,0.0,1
3645,2608.0,0,0,0.0,0.0,1
3646,2609.0,1,0,0.0,0.0,1
3647,2610.0,1,1,5000.0,1.0,1
3648,2611.0,1,1,3840.0,6.0,1
3649,2612.0,1,1,15700.0,6.0,3
3652,2613.0,1,1,32600.0,5.0,3
3655,2614.0,1,1,19900.0,5.0,3
3659,2615.0,1,1,137500.0,6.0,2
3660,2616.0,1,1,31500.0,5.0,2
3662,2617.0,0,0,0.0,0.0,1
3663,2618.0,1,1,9000.0,5.0,2
