a01,f_ed,m_ed,combined_ed
2137,9,12,21
2158,10,10,20
2160,10,12,22
2162,12,13,25
2166,9,13,22
2171,10,14,24
2187,9,10,19
2193,9,7,16
2196,5,4,9
2210,10,10,20
2217,9,7,16
2218,8,5,13
2223,6,5,11
2227.1,9,12,21
2230,2,8,10
2233,12,5,17
2234,10,6,16
2236,12,14,26
2243,0,0,0
2249,10,9,19
2255,7,4,11
2260.1,7,9,16
2263,5,4,9
2267,10,10,20
2309,9,8,17
2310,12,12,24
2317,12,14,26
2323,14,14,28
2327,5,5,10
2337,13,9,22
2341,5,4,9
2354,5,0,5
2357,5,5,10
2361,9,10,19
2362,10,6,16
2368,5,5,10
2383,9,9,18
2384,9,9,18
2387,10,10,20
2404.1,8,5,13
2404.2,8,5,13
2413,12,10,22
2430,13,7,20
2438,8,8,16
2441,12,12,24
2442,12,13,25
2446.1,13,13,26
2446.2,13,13,26
2450,5,5,10
2454,5,5,10
2462,5,5,10
2465,10,13,23
2469,12,13,25
2478,9,4,13
2480,12,10,22
2485,6,0,6
2491,5,5,10
2499,0,0,0
2501,10,12,22
2503,12,12,24
2505,3,5,8
2514,10,12,22
2516,7,5,12
2519,5,0,5
2521,5,5,10
2522,8,12,20
2523,5,0,5
2524.1,8,8,16
2524.2,8,8,16
2525,5,4,9
2526,5,7,12
2528,6,5,11
2538,6,0,6
2541,10,5,15
2542,5,5,10
2543,5,10,15
2547,8,0,8
2549,10,10,20
2555,5,2,7
2556,9,8,17
2557,5,0,5
2569,8,5,13
2571,10,5,15
2573,10,10,20
2578,12,12,24
2584,9,5,14
2592,9,0,9
2593,8,4,12
2595,4,5,9
2621,10,7,17
2624,8,8,16
2625,7,7,14
2636,8,10,18
2641,4,5,9
2642,4,0,4
2643,9,5,14
2644,10,8,18
2646,12,12,24
2652,5,4,9
2656,8,2,10
2661,10,8,18
2663,7,10,17
2666,10,10,20
2671,7,6,13
2672,9,5,14
2674,12,12,24
2680,6,7,13
2681,12,12,24
2684,12,10,22
2691,12,12,24
2694,7,7,14
2700,10,9,19
2701,13,13,26
2704,4,7,11
2705,6,4,10
2709,6,8,14
2712,12,10,22
2714,6,7,13
2723,9,13,22
2726,6,12,18
2727,10,12,22
2731,5,3,8
2733,7,8,15
2735,10,10,20
2740,6,12,18
2744,6,5,11
2760,0,0,0
2761,12,12,24
2767,6,8,14
2768,10,10,20
2775,12,14,26
2778,10,12,22
2780,13,14,27
2783,5,5,10
2785.1,6,5,11
2785.2,6,5,11
2786,8,7,15
2790,5,5,10
2792,5,5,10
2793,8,3,11
2797,13,13,26
2811,7,6,13
2813,6,0,6
2814,8,6,14
2819,5,8,13
2832,10,6,16
2837,10,0,10
2838,10,12,22
2845,6,0,6
2847,9,2,11
2851,10,13,23
2856,12,12,24
2860,12,12,24
2865,6,8,14
2868.1,3,0,3
2868.2,3,0,3
2885.1,5,0,5
2885.2,5,0,5
2886,7,5,12
2888,7,5,12
2889,8,9,17
2895,5,0,5
2898,5,3,8
2899,5,8,13
2903,12,13,25
2912,7,8,15
2925,10,10,20
2927,7,9,16
2928,12,12,24
2933,9,8,17
2935,9,9,18
2942,10,10,20
2951.1,4,0,4
2954,8,5,13
2955,8,8,16
2961.1,9,5,14
2961.2,9,5,14
2964,9,5,14
2966,10,8,18
2970,10,8,18
2973,9,5,14
2976,10,10,20
2979,5,5,10
2988,5,5,10
2989,5,10,15
2999,2,5,7
3008,7,5,12
3010,12,0,12
3011,10,9,19
3012,9,9,18
3013,9,5,14
3014.1,8,5,13
3020,12,13,25
3045,12,8,20
3046,5,5,10
3055,9,5,14
3057,9,5,14
3060,7,5,12
3063,5,5,10
3068,9,6,15
3069,8,9,17
3072,7,5,12
3081,5,5,10
3084,9,10,19
3086,5,5,10
3096,8,4,12
3101,5,5,10
3107,9,3,12
3110,5,8,13
3117,7,5,12
3119,1,0,1
3125.2,5,5,10
3128,5,9,14
3129,9,9,18
3135,0,9,9
3140,13,14,27
3141,10,10,20
3145,13,12,25
3149,9,9,18
3151,12,12,24
3152,10,9,19
3156,12,9,21
3157,5,10,15
3158,10,5,15
3160,7,7,14
3164,7,7,14
3170,12,5,17
3173.1,7,7,14
3173.2,7,7,14
3182,10,10,20
3187,12,12,24
3193,12,14,26
3197,13,13,26
3200,10,10,20
3201,8,6,14
3202,8,8,16
3208,12,10,22
3214,5,9,14
3215,12,12,24
3219,8,8,16
3222,4,5,9
3227,8,5,13
3228,7,5,12
3233,10,10,20
3239,12,7,19
3240,12,12,24
3243,7,0,7
3248,12,13,25
3255,5,0,5
3257,12,,12
3261,8,0,8
3268,9,12,21
3275,10,12,22
3277,8,12,20
3285,7,0,7
3288,5,5,10
3292,10,10,20
3301,6,0,6
3303,8,7,15
3307,5,5,10
3321,6,5,11
3331,7,6,13
3335,4,5,9
3338,10,12,22
3346,6,5,11
3351,14,8,22
3355,7,7,14
3357,7,5,12
3358,10,0,10
3362,0,0,0
3368,7,3,10
3372,10,14,24
3376,9,13,22
3377,5,0,5
3379,5,10,15
3380,10,5,15
3381,12,12,24
3404,12,8,20
3408,7,5,12
3417,8,9,17
3418,10,8,18
3433,1,0,1
3443,8,6,14
3448,12,10,22
3450,8,7,15
3451,3,4,7
3456,7,0,7
3459,12,10,22
3461,8,8,16
3462,5,2,7
3476,8,14,22
3481,8,5,13
3486,5,5,10
3494,12,10,22
3498,7,10,17
3499,7,10,17
3506.1,9,3,12
3522,13,14,27
3524,10,13,23
3525,10,9,19
3530,13,14,27
3533.1,7,5,12
3535,8,9,17
3536.1,5,5,10
3539,6,5,11
3540,10,8,18
3544,10,9,19
3547,1,5,6
3549,10,10,20
3551,9,5,14
3553,7,5,12
3554,5,5,10
3555,7,0,7
3559,8,5,13
3566,9,5,14
3568,7,9,16
3569,5,4,9
3570,5,3,8
3574,5,13,18
3580,12,12,24
3587,10,14,24
3594,10,10,20
3596,9,7,16
3604,10,10,20
3606,9,10,19
3617,5,0,5
3618,5,0,5
3620.1,0,5,5
3620.2,0,5,5
3624,9,8,17
3629,10,5,15
3630,13,10,23
3633.2,10,5,15
3636,8,5,13
3637,10,13,23
3640,12,9,21
3644,12,10,22
3656,12,12,24
3672,9,8,17
3682,12,10,22
3690,12,14,26
3691,14,14,28
3692,9,0,9
3697,10,10,20
3706,7,12,19
3707,8,8,16
3708,7,13,20
3711,12,10,22
3719,9,7,16
3721,7,4,11
3723,9,10,19
3724,12,12,24
3725,6,,6
3728,9,8,17
3731,13,9,22
3732,9,5,14
3736,5,7,12
3738,5,5,10
3739,10,12,22
3742,7,5,12
3743,6,0,6
3761,12,13,25
3772,7,7,14
3773,7,8,15
3778,7,5,12
3779,5,8,13
3785,7,9,16
3787,10,9,19
3788,12,9,21
3789.1,10,5,15
3798,8,8,16
3799,7,6,13
3801,10,10,20
3803,12,12,24
3807,7,7,14
3809,7,5,12
3811.1,10,10,20
3813,6,13,19
3817,7,12,19
3825,12,10,22
3827,5,0,5
3828,8,9,17
3835,4,3,7
3847,7,8,15
3853,7,7,14
3854,10,0,10
3856,7,0,7
3861,12,6,18
3867,8,5,13
3874,8,8,16
3875,5,0,5
3877,12,0,12
3878,9,0,9
3882,10,10,20
3884,5,3,8
3885,8,0,8
3891.1,8,5,13
3892,9,8,17
3898,6,0,6
3905,3,0,3
3907,5,8,13
3908.1,12,12,24
3916,6,9,15
3917,5,0,5
3935.1,5,10,15
3936,0,0,0
3942,6,5,11
3953,5,5,10
3956,5,3,8
3957,7,12,19
3961,0,5,5
3970,5,0,5
3971,0,0,0
3974,5,5,10
3976,0,6,6
3980,7,0,7
3982,6,10,16
3983,9,5,14
3986,5,10,15
3988,6,9,15
3990,12,9,21
3998.1,7,12,19
4004,8,8,16
4005,12,12,24
4009,9,5,14
4011,6,6,12
4015,7,10,17
4017.1,6,9,15
4017.2,6,9,15
4019,6,5,11
4035,8,10,18
4045,8,5,13
4046.1,7,4,11
4056,12,12,24
4058,6,5,11
4060.1,5,5,10
4068,7,9,16
4069,9,10,19
4071,10,9,19
4076,12,13,25
4081,6,0,6
4082,10,10,20
4083,10,12,22
4084,10,10,20
4090,7,10,17
4091,11,10,21
4092,13,10,23
4094,12,10,22
4097,9,8,17
4099,8,1,9
4100,10,13,23
4106,9,5,14
4110,9,8,17
4114,9,8,17
4115,12,13,25
4117,12,12,24
4118,12,14,26
4120,10,8,18
4121,0,0,0
4124,8,6,14
4127,2,8,10
4129,8,12,20
4133,12,10,22
4136,10,10,20
4142,7,4,11
4143,5,0,5
4146,3,0,3
4148,7,4,11
4149,8,10,18
4150,7,8,15
4152,8,7,15
4161,4,9,13
4165,8,8,16
4166,12,12,24
4169,5,5,10
4170,5,5,10
4171,12,10,22
4174,10,12,22
4175,10,5,15
4176,10,10,20
4188,12,12,24
4196.11,12,0,12
4197,12,10,22
4203,9,9,18
4204,5,0,5
4206,9,7,16
4208,6,5,11
4212,12,12,24
4222,10,8,18
4226,10,12,22
4228,9,12,21
4231,6,5,11
4237,10,0,10
4241,10,10,20
4245,10,9,19
4252,9,12,21
4260,12,12,24
4272,10,5,15
4274,10,10,20
4275,10,10,20
4279,10,10,20
4282,5,5,10
4284,5,5,10
4285,5,5,10
4288,8,8,16
4298,12,12,24
4302,12,13,25
4303,5,9,14
4306,10,5,15
4314,9,10,19
4319.1,10,12,22
4323,12,10,22
4328,10,9,19
4334,10,12,22
4340,9,6,15
4341,13,13,26
4342,12,10,22
4344,8,5,13
4354,6,7,13
4362,10,9,19
4364,10,9,19
4368,10,12,22
4371,12,7,19
4373,10,9,19
4374,5,5,10
4375,12,10,22
4382,9,5,14
4386,8,14,22
4389,8,0,8
4392,12,13,25
4394.1,12,14,26
4398,12,12,24
4401,5,0,5
4405,6,0,6
4406,5,4,9
4407.2,6,9,15
4415,5,3,8
4421.1,7,5,12
4426,12,12,24
4430,10,5,15
4432,9,5,14
4433,8,12,20
4437,12,13,25
4447.1,14,13,27
4449,7,5,12
4452,9,8,17
4466,10,9,19
4475,5,0,5
4481,5,3,8
4489,6,5,11
4490,10,10,20
4492,5,5,10
4493.1,5,6,11
4493.2,5,6,11
4494,8,0,8
4498,12,10,22
4499,12,12,24
4503,7,4,11
4508,9,12,21
4509.1,8,9,17
4515.1,6,3,9
4515.2,6,3,9
4516,9,13,22
4518,12,12,24
4526,12,10,22
4530,12,10,22
4531,5,7,12
4534,5,12,17
4541,8,5,13
4547,12,12,24
4571,9,10,19
4573,8,5,13
4575,7,10,17
4589,10,10,20
4590,12,12,24
4592,10,0,10
4598,12,10,22
4606,8,7,15
4617,7,10,17
4622,7,5,12
4625.1,8,5,13
4627,5,7,12
4632.1,5,5,10
4642,8,6,14
4646,7,4,11
4648,14,9,23
4649,7,0,7
4654,5,5,10
4658,8,5,13
4659,5,5,10
4660,9,8,17
4662,10,9,19
4669,13,14,27
4673,12,10,22
4674,14,14,28
4681,10,13,23
4682,3,10,13
4686,8,9,17
4697,12,14,26
4701,10,10,20
4702,7,10,17
4705,5,4,9
4708.1,7,7,14
4708.2,10,3,13
4715,9,10,19
4717,8,8,16
4719,10,5,15
4723,8,9,17
4730,8,3,11
4732,8,12,20
4737,6,0,6
4739,7,5,12
4742,6,5,11
4753,12,12,24
4762,14,14,28
4764,6,4,10
4765,8,6,14
4767,10,8,18
4772,10,10,20
4774,12,13,25
4777,12,7,19
4779,12,12,24
4782.1,5,0,5
4787,0,0,0
4789,7,10,17
4790.1,8,0,8
4792,6,5,11
4794,4,0,4
4795,0,5,5
4800,5,8,13
4804,10,9,19
4805,13,12,25
4808,4,7,11
4820,5,5,10
4824,10,5,15
4828,5,0,5
4833,4,4,8
4846.1,12,12,24
4847,9,,9
4858,12,9,21
4860,5,0,5
4862,5,5,10
4863.1,4,0,4
4868,8,9,17
4869,9,0,9
4871,5,2,7
4891,5,5,10
4892,5,0,5
4899,10,10,20
4909,13,13,26
4910,9,9,18
4914,2,5,7
4916,5,0,5
4917.2,6,5,11
4921,12,12,24
4922,12,12,24
4924,12,13,25
4931,8,8,16
4937,6,10,16
4948,5,5,10
4950,5,5,10
4951,0,3,3
4956.1,0,0,0
4966,9,0,9
4970,12,12,24
4971,2,0,2
4975,9,10,19
4983,0,10,10
4984,4,0,4
4985,7,9,16
4988.1,10,5,15
4992,5,5,10
4993,12,13,25
4997,6,12,18
4999,5,0,5
5003,6,8,14
5011,8,0,8
5025,8,0,8
5029,4,6,10
5030,8,9,17
5031,12,12,24
5033,3,5,8
5040,12,8,20
5046,5,1,6
5047,5,5,10
5048.1,9,9,18
5063,12,10,22
5066,6,0,6
5074,7,7,14
5081,5,0,5
5086.1,10,9,19
5086.21,10,9,19
5086.22,10,9,19
5087,0,0,0
5096,5,10,15
5097,6,9,15
5110,9,5,14
5111,10,6,16
5114,13,10,23
5120,9,10,19
5121,12,10,22
5126,10,8,18
5130,5,5,10
5135,10,8,18
5141,7,5,12
5146,0,0,0
5147,5,5,10
5151,10,7,17
5158.1,7,8,15
5159,6,3,9
5163,10,9,19
5167,10,10,20
5176,10,10,20
5177,9,9,18
5178,5,0,5
5182,8,5,13
5183,10,5,15
5190.1,3,5,8
5192,7,5,12
5194,5,9,14
5196.1,5,5,10
5196.2,9,8,17
5202,5,0,5
5205,5,10,15
5210,6,10,16
5213,8,8,16
5218,10,7,17
5219,12,7,19
5221,12,5,17
5222.1,14,10,24
