,a01,Savings in the past year,Current Savings,Total Savings(Standardized),Saving Frequency(Standardized),Savings diversification,Amount of Land (in 2015),Current Land,Land Acquired,Current Value of Land,Untitled,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household
75,392.0,1,1,-0.202956897,1.056112399,-0.493815326,9.0,9.0,0.0,900000,85,8,5.0,13,381,4.0,4.0,4.0
76,397.0,1,0,-0.236235418,-1.120578168,-0.493815326,36.0,15.0,-21.0,1950000,86,7,2.0,9,386,3.25,3.25,2.0
77,404.0,1,1,-0.22292401,1.056112399,-0.493815326,68.75,96.0,27.25,3617500,87,9,7.0,16,393,3.8,3.8,4.0
78,421.0,1,1,-0.182989785,1.056112399,0.934376058,4.0,83.0,79.0,3200000,89,5,8.0,13,409,3.6,3.4,3.25
79,424.0,1,1,1.102559453,1.056112399,2.362567443,67.5,34.0,-33.5,1070000,90,6,8.0,14,412,3.5,3.5,2.5
80,435.0,1,1,-0.234238706,1.056112399,-0.493815326,23.0,19.5,-3.5,605000,92,7,3.0,10,423,3.6,3.6,3.333333333
81,437.1,1,1,-0.036564296,1.056112399,-0.493815326,27.0,27.0,0.0,850000,93,9,8.0,17,425,4.0,4.0,4.0
82,440.1,1,1,-0.089809928,0.693330638,-0.493815326,130.0,32.0,-98.0,600000,94,4,7.0,11,429,3.0,3.0,3.166666667
83,444.0,1,0,-0.236235418,-1.120578168,-0.493815326,48.5,82.0,33.5,960000,97,1,10.0,11,435,3.5,2.75,3.0
84,446.0,1,0,-0.236235418,-1.120578168,-0.493815326,90.0,60.0,-30.0,936000,98,7,0.0,7,437,3.75,3.75,4.0
85,447.0,1,1,-0.186317637,0.693330638,0.934376058,394.5,415.0,20.5,11255000,99,10,9.0,19,438,3.333333333,3.333333333,3.2
86,449.0,1,1,0.362777948,-0.757796407,-0.493815326,94.0,114.0,20.0,1395000,101,8,0.0,8,440,3.333333333,3.333333333,3.0
87,450.0,0,0,-0.236235418,-1.120578168,-0.493815326,243.0,243.0,0.0,3891000,102,12,12.0,24,441,3.8,3.8,4.0
88,460.0,1,0,-0.236235418,-1.120578168,-0.493815326,132.0,119.0,-13.0,2625000,103,10,13.0,23,451,3.2,3.2,3.0
89,464.2,1,1,-0.179661933,1.056112399,0.934376058,84.0,45.0,-39.0,990000,105,10,12.0,22,456,4.0,4.0,4.0
90,467.1,0,0,-0.236235418,-1.120578168,-0.493815326,448.0,406.0,-42.0,13519000,106,13,13.0,26,459,3.25,3.25,4.0
91,467.2,1,1,0.848644344,1.056112399,0.934376058,454.0,139.0,-315.0,2960000,107,13,13.0,26,460,3.0,3.0,3.5
92,468.0,1,1,0.003369928,0.693330638,0.934376058,6.0,6.0,0.0,300000,108,12,12.0,24,461,4.0,4.0,2.5
93,472.0,1,1,-0.234238706,1.056112399,-0.493815326,54.0,54.0,0.0,1250000,110,10,10.0,20,464,4.0,4.0,3.833333333
94,487.0,1,0,-0.236235418,-1.120578168,-0.493815326,77.0,101.0,24.0,7950000,112,12,14.0,26,482,3.0,3.0,4.0
95,489.0,1,0,-0.236235418,-1.120578168,-0.493815326,105.0,71.0,-34.0,4780000,113,12,14.0,26,483,2.0,2.0,2.0
96,500.0,1,1,0.296220907,-0.757796407,-0.493815326,202.0,321.0,119.0,15085000,115,12,14.0,26,497,3.333333333,2.666666667,2.0
97,502.0,1,1,-0.170157588,1.056112399,-0.493815326,57.0,32.0,-25.0,5560000,116,9,9.0,18,498,4.0,4.0,2.0
