,a01,Savings in the past year,Current Savings,Total Savings(Standardized),Saving Frequency(Standardized),Savings diversification,Amount of Land (in 2015),Current Land,Land Acquired,Current Value of Land,Untitled,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household
376,1845.0,0,0,-0.236235418,-1.120578168,-0.493815326,207.0,228.0,21.0,2900000,538,12,8.0,20,1878,2.75,2.75,2.2
377,1847.0,1,1,0.029992745,-0.757796407,-0.493815326,103.0,80.0,-23.0,1550000,540,5,5.0,10,1880,3.0,3.0,3.4
378,1864.0,1,1,0.562449069,-0.757796407,-0.493815326,62.0,106.0,44.0,3057000,542,9,5.0,14,1898,2.5,2.75,2.666666667
379,1866.0,1,0,-0.236235418,-1.120578168,-0.493815326,129.0,130.0,1.0,7950000,543,8,5.0,13,1901,2.0,3.0,1.8
380,1867.0,1,0,-0.236235418,-1.120578168,-0.493815326,109.0,81.0,-28.0,3580000,544,5,5.0,10,1902,2.0,2.0,2.666666667
381,1868.0,0,0,-0.236235418,-1.120578168,-0.493815326,200.0,200.0,0.0,6260000,545,12,9.0,21,1903,3.0,2.75,1.6
382,1876.2,1,1,7.750609451,-0.757796407,-0.493815326,346.0,147.0,-199.0,11655000,548,6,5.0,11,1912,3.0,3.0,1.2
383,1894.0,1,1,-0.182989785,1.056112399,0.934376058,14.0,14.0,0.0,9800000,550,10,12.0,22,1930,4.0,4.0,4.0
384,1895.0,1,1,-0.136399857,0.693330638,-0.493815326,81.0,81.0,0.0,7830000,551,10,12.0,22,1931,4.0,4.0,1.0
385,1902.0,1,1,-0.196966764,1.056112399,0.934376058,166.0,166.0,0.0,550000,553,12,10.0,22,1938,2.5,2.0,2.4
386,1907.0,1,1,-0.119760597,1.056112399,0.934376058,291.0,254.0,-37.0,855000,554,4,0.0,4,1942,3.0,3.0,2.166666667
387,1908.0,1,1,-0.103121336,1.056112399,-0.493815326,150.0,195.0,45.0,3150000,556,5,5.0,10,1943,2.0,3.0,2.833333333
388,1917.0,1,1,-0.202956897,1.056112399,-0.493815326,78.0,75.0,-3.0,810000,557,5,0.0,5,1949,3.0,3.0,2.666666667
389,1919.0,1,1,-0.176334081,0.693330638,0.934376058,278.0,263.0,-15.0,2300000,558,4,0.0,4,1950,3.0,3.0,2.166666667
390,1926.0,1,1,-0.229579714,0.693330638,-0.493815326,39.0,190.0,151.0,4900000,559,7,10.0,17,1955,2.8,2.8,3.4
391,1932.0,1,1,1.787098616,0.693330638,0.934376058,97.5,156.8,59.3,8470000,560,12,10.0,22,1961,4.0,4.0,4.0
392,1933.0,1,0,-0.236235418,-1.120578168,-0.493815326,161.0,131.0,-30.0,4200000,561,13,13.0,26,1962,3.0,3.0,2.285714286
393,1936.0,0,0,-0.236235418,-1.120578168,-0.493815326,190.0,186.0,-4.0,4130000,562,10,12.0,22,1965,3.25,1.75,2.833333333
394,1941.0,1,1,0.229663866,1.056112399,-0.493815326,472.0,472.0,0.0,19620000,563,12,14.0,26,1971,3.4,3.4,3.333333333
395,1946.0,0,0,-0.236235418,-1.120578168,-0.493815326,260.0,81.5,-178.5,1545000,564,9,9.0,18,1976,2.714285714,1.857142857,2.0
396,1947.0,1,0,-0.236235418,-1.120578168,-0.493815326,113.5,84.0,-29.5,1873000,565,12,12.0,24,1977,4.0,4.0,4.0
397,1948.0,1,1,-0.226251862,1.056112399,-0.493815326,71.0,64.0,-7.0,300000,566,8,6.0,14,1978,3.0,3.0,3.0
398,1951.0,1,1,-0.214937165,1.056112399,-0.493815326,75.0,61.75,-13.25,1325000,567,8,5.0,13,1981,3.0,2.5,1.833333333
399,1957.0,1,0,-0.236235418,-1.120578168,-0.493815326,107.0,127.0,20.0,3895000,568,10,12.0,22,1986,3.0,3.0,3.0
400,1963.1,1,1,0.396056468,1.056112399,0.934376058,209.0,151.0,-58.0,3060000,569,8,3.0,11,1992,3.75,3.75,4.0
401,1964.0,0,0,-0.236235418,-1.120578168,-0.493815326,192.0,138.0,-54.0,2120000,570,9,12.0,21,1994,3.5,3.5,3.5
402,1965.0,1,1,0.429334988,-0.757796407,-0.493815326,73.0,78.0,5.0,1580000,571,4,5.0,9,1995,2.5,3.0,2.833333333
403,1969.0,1,1,-0.196301193,1.056112399,-0.493815326,71.0,55.0,-16.0,1200000,573,7,7.0,14,1999,3.666666667,3.666666667,3.666666667
404,1980.0,1,1,-0.209612601,1.056112399,-0.493815326,27.0,27.0,0.0,360000,574,7,8.0,15,2007,2.25,3.75,4.0
405,1995.0,0,0,-0.236235418,-1.120578168,-0.493815326,5.0,5.0,0.0,100000,575,4,10.0,14,2017,4.0,4.0,3.5
406,2003.0,1,1,0.417687506,1.056112399,0.934376058,23.0,23.0,0.0,480000,576,8,3.0,11,2024,3.333333333,3.333333333,2.6
407,2004.1,0,0,-0.236235418,-1.120578168,-0.493815326,9.0,4.0,-5.0,80000,577,5,5.0,10,2025,3.5,4.0,3.5
408,2010.0,1,1,-0.201625757,0.693330638,-0.493815326,135.0,130.0,-5.0,2590000,578,10,12.0,22,2030,4.0,4.0,3.5
409,2011.0,1,1,-0.176334081,1.056112399,0.934376058,2.0,3.0,1.0,90000,579,12,10.0,22,2031,3.333333333,3.333333333,2.4
410,2013.0,1,1,-0.202956897,0.693330638,-0.493815326,12.0,12.0,0.0,300000,580,10,10.0,20,2033,4.0,4.0,3.0
411,2014.0,1,1,-0.202956897,1.056112399,-0.493815326,69.0,143.0,74.0,4300000,581,10,10.0,20,2034,4.0,4.0,3.75
412,2024.0,1,1,-0.192973341,1.056112399,-0.493815326,2.0,2.0,0.0,80000,583,7,7.0,14,2044,3.5,4.0,4.0
413,2029.0,0,0,-0.236235418,-1.120578168,-0.493815326,10.0,2.5,-7.5,220000,584,2,2.0,4,2049,3.666666667,3.666666667,1.25
414,2032.0,0,0,-0.236235418,-1.120578168,-0.493815326,2.0,2.0,0.0,200000,585,5,0.0,5,2052,4.0,4.0,4.0
415,2054.0,1,1,0.495892029,0.693330638,-0.493815326,97.0,136.0,39.0,2330000,588,10,10.0,20,2071,3.666666667,4.0,3.5
416,2057.0,1,1,-0.097796773,1.056112399,2.362567443,5.0,46.0,41.0,950000,589,6,8.0,14,2074,3.0,4.0,4.0
417,2076.0,1,1,1.727197279,1.056112399,5.218950212,70.0,101.0,31.0,3010000,590,12,12.0,24,2091,3.0,2.2,3.666666667
418,2087.0,1,1,0.029992745,-0.757796407,-0.493815326,112.0,112.0,0.0,2600000,591,12,10.0,22,2102,4.0,3.333333333,3.0
419,2089.0,1,1,0.587740745,0.693330638,2.362567443,141.0,197.0,56.0,3500000,592,12,7.0,19,2104,3.5,3.5,2.4
420,2091.0,1,1,-0.232508223,1.056112399,-0.493815326,90.0,90.0,0.0,1750000,593,9,9.0,18,2107,3.4,3.2,3.0
421,2093.0,1,1,-0.003285776,-0.757796407,-0.493815326,3.0,30.0,27.0,650000,594,5,5.0,10,2109,3.333333333,3.333333333,2.0
422,2096.0,1,1,0.029992745,-0.757796407,-0.493815326,55.0,45.0,-10.0,840000,595,9,12.0,21,2113,4.0,3.5,3.166666667
423,2106.0,1,1,0.46594136,0.693330638,0.934376058,3.0,39.0,36.0,1540000,596,12,9.0,21,2124,3.4,3.4,2.2
424,2111.0,1,1,-0.1916422,1.056112399,0.934376058,82.0,23.0,-59.0,440000,597,10,14.0,24,2129,2.0,2.0,4.0
425,2117.0,1,1,-0.096911565,0.693330638,-0.493815326,3.0,3.0,0.0,300000,598,12,14.0,26,2135,4.0,4.0,3.5
426,2123.1,1,1,-0.22358958,1.056112399,-0.493815326,180.0,127.0,-53.0,4060000,599,10,9.0,19,2141,3.4,3.4,2.833333333
427,2124.0,1,1,-0.226651204,0.693330638,-0.493815326,313.0,313.0,0.0,5625000,600,9,,9,2143,1.0,1.333333333,1.2
428,2128.1,1,0,-0.236235418,-1.120578168,-0.493815326,931.0,407.5,-523.5,8440000,601,10,12.0,22,2146,3.4,2.4,2.2
429,2130.0,1,1,3.291287733,0.330548877,0.934376058,63.0,199.0,136.0,4270000,602,9,10.0,19,2149,4.0,4.0,2.0
430,2131.0,1,1,-0.232241995,1.056112399,-0.493815326,104.0,201.0,97.0,3620000,603,7,10.0,17,2150,3.333333333,3.2,2.0
431,2136.0,0,0,-0.236235418,-1.120578168,-0.493815326,15.0,95.0,80.0,2400000,604,3,3.0,6,2155,3.0,2.5,2.0
432,2137.0,1,0,-0.236235418,-1.120578168,-0.493815326,10.0,10.0,0.0,300000,606,9,12.0,21,2156,4.0,4.0,3.0
433,2160.0,1,1,-0.232042324,1.056112399,-0.493815326,125.0,166.0,41.0,2425000,608,10,12.0,22,2179,4.0,4.0,2.666666667
434,2162.0,1,1,-0.208281461,1.056112399,3.790758827,230.0,189.0,-41.0,1770000,609,12,13.0,25,2181,3.333333333,4.0,3.6
435,2166.0,1,1,0.302876611,-0.757796407,0.934376058,292.0,127.0,-165.0,1740000,610,9,13.0,22,2185,4.0,4.0,2.0
436,2171.0,1,1,-0.220328285,1.056112399,-0.493815326,63.0,63.0,0.0,355000,611,10,14.0,24,2188,3.0,3.0,3.333333333
437,2187.0,1,1,-0.196301193,0.693330638,-0.493815326,57.0,69.0,12.0,565000,612,9,10.0,19,2207,3.25,3.25,3.166666667
438,2193.0,1,0,-0.236235418,-1.120578168,-0.493815326,24.0,24.0,0.0,132000,613,9,7.0,16,2211,3.0,3.666666667,3.833333333
439,2196.0,1,0,-0.236235418,-1.120578168,-0.493815326,233.0,171.0,-62.0,520000,614,5,4.0,9,2214,3.0,3.25,3.0
440,2210.0,1,1,-0.202956897,0.693330638,-0.493815326,29.0,21.0,-8.0,1000000,615,10,10.0,20,2227,3.75,2.0,2.0
441,2217.0,1,1,-0.016597184,0.693330638,0.934376058,60.0,58.0,-2.0,2720000,617,9,7.0,16,2234,4.0,4.0,3.4
442,2218.0,1,1,-0.163022673,0.693330638,0.934376058,93.0,69.0,-24.0,2190000,618,8,5.0,13,2235,3.333333333,2.0,2.6
443,2223.0,1,1,-0.204288038,1.056112399,-0.493815326,22.5,50.5,28.0,530000,619,6,5.0,11,2241,3.0,3.0,3.4
444,2227.1,1,0,-0.236235418,-1.120578168,-0.493815326,56.0,260.0,204.0,3630000,620,9,12.0,21,2245,4.0,4.0,4.0
445,2230.0,1,0,-0.236235418,-1.120578168,-0.493815326,59.5,12.0,-47.5,220000,621,2,8.0,10,2249,4.0,4.0,2.5
446,2233.0,1,1,-0.226251862,1.056112399,-0.493815326,26.5,32.0,5.5,499400,622,12,5.0,17,2253,3.6,3.4,3.333333333
447,2234.0,1,1,-0.103307696,1.056112399,2.362567443,12.0,10.5,-1.5,157500,623,10,6.0,16,2254,3.666666667,3.0,4.0
448,2236.0,1,1,-0.226251862,1.056112399,-0.493815326,130.0,123.0,-7.0,1845000,624,12,14.0,26,2257,3.25,3.0,3.0
449,2243.0,1,1,-0.209612601,-0.757796407,-0.493815326,134.0,134.0,0.0,2750000,625,0,0.0,0,2263,3.5,3.5,2.8
450,2249.0,1,0,-0.236235418,-1.120578168,-0.493815326,549.0,486.0,-63.0,10650000,626,10,9.0,19,2268,3.0,3.333333333,3.0
451,2255.0,1,0,-0.236235418,-1.120578168,-0.493815326,29.0,11.26,-17.740000000000002,360000,627,7,4.0,11,2274,4.0,2.0,2.5
452,2260.1,1,0,-0.236235418,-1.120578168,-0.493815326,64.0,93.0,29.0,1876000,628,7,9.0,16,2277,3.4,3.4,2.4
453,2267.0,1,0,-0.236235418,-1.120578168,-0.493815326,100.0,120.0,20.0,900000,630,10,10.0,20,2283,4.0,4.0,4.0
454,2309.0,1,1,-0.22292401,1.056112399,-0.493815326,163.0,156.0,-7.0,2150000,631,9,8.0,17,2326,3.25,3.25,3.6
455,2310.0,0,0,-0.236235418,-1.120578168,-0.493815326,263.0,251.0,-12.0,1830000,633,12,12.0,24,2327,3.0,3.0,3.6
456,2323.0,0,0,-0.236235418,-1.120578168,-0.493815326,155.0,77.5,-77.5,9350000,635,14,14.0,28,2341,3.0,3.0,1.8
457,2327.0,1,1,-0.063187112,0.693330638,0.934376058,21.0,21.0,0.0,1500000,636,5,5.0,10,2344,3.0,3.5,3.0
458,2337.0,1,1,0.429334988,1.056112399,-0.493815326,119.5,39.5,-80.0,1550000,637,13,9.0,22,2353,4.0,4.0,2.0
459,2341.0,1,1,0.029992745,-0.757796407,-0.493815326,63.25,95.25,32.0,780000,638,5,4.0,9,2358,2.666666667,2.666666667,2.833333333
460,2357.0,0,0,-0.236235418,-1.120578168,-0.493815326,188.0,293.0,105.0,722000,640,5,5.0,10,2373,4.0,4.0,4.0
461,2361.0,1,1,-0.129744153,0.693330638,0.934376058,51.5,51.5,0.0,4440000,642,9,10.0,19,2377,4.0,4.0,4.0
462,2362.0,1,1,-0.169678377,1.056112399,0.934376058,17.5,20.5,3.0,1900000,643,10,6.0,16,2378,4.0,4.0,2.0
463,2368.0,1,1,-0.216268305,1.056112399,-0.493815326,6.0,41.0,35.0,980000,644,5,5.0,10,2384,3.0,3.0,2.0
464,2383.0,1,1,-0.212680881,0.693330638,-0.493815326,400.0,400.5,0.5,1660000,645,9,9.0,18,2402,4.0,4.0,3.5
465,2384.0,1,0,-0.236235418,-1.120578168,-0.493815326,829.0,449.0,-380.0,1410000,646,9,9.0,18,2403,4.0,4.0,2.0
466,2387.0,1,0,-0.236235418,-1.120578168,-0.493815326,765.0,698.0,-67.0,1572000,647,10,10.0,20,2405,3.75,4.0,3.4
467,2404.2,1,1,-0.214937165,1.41889416,-0.493815326,73.0,11.0,-62.0,400000,649,8,5.0,13,2420,3.0,3.0,3.4
468,2413.0,1,1,-0.21427825,1.056112399,-0.493815326,22.0,13.0,-9.0,400000,650,12,10.0,22,2426,4.0,4.0,3.0
469,2430.0,1,1,-0.209612601,0.693330638,-0.493815326,123.3,123.3,0.0,2400000,651,13,7.0,20,2445,3.25,3.25,3.0
470,2441.0,1,1,1.128183914,0.693330638,2.362567443,67.25,102.25,35.0,13370000,653,12,12.0,24,2454,3.25,2.25,3.0
471,2442.0,0,0,-0.236235418,-1.120578168,-0.493815326,40.0,40.0,0.0,1360000,654,12,13.0,25,2455,3.0,3.0,2.8
472,2446.1,1,0,-0.236235418,-1.120578168,-0.493815326,100.0,128.0,28.0,5550000,655,13,13.0,26,2459,4.0,4.0,4.0
473,2446.2,1,1,-0.156366969,0.693330638,-0.493815326,100.0,110.5,10.5,3750000,656,13,13.0,26,2460,3.333333333,3.333333333,3.0
474,2450.0,1,1,-0.186184523,0.693330638,0.934376058,1.75,1.75,0.0,120000,657,5,5.0,10,2463,4.0,4.0,3.0
475,2454.0,1,1,-0.219596157,0.693330638,-0.493815326,5.0,5.0,0.0,100000,658,5,5.0,10,2467,4.0,4.0,4.0
476,2465.0,0,0,-0.236235418,-1.120578168,-0.493815326,529.5,504.5,-25.0,3600000,660,10,13.0,23,2478,4.0,4.0,4.0
477,2469.0,1,1,-0.226251862,-0.757796407,-0.493815326,76.5,1.5,-75.0,450000,662,12,13.0,25,2481,4.0,4.0,3.0
478,2478.0,0,0,-0.236235418,-1.120578168,-0.493815326,1.0,1.0,0.0,150000,663,9,4.0,13,2490,4.0,4.0,2.0
479,2480.0,1,1,-0.208281461,1.056112399,-0.493815326,291.0,66.0,-225.0,1250000,664,12,10.0,22,2492,4.0,4.0,4.0
480,2485.0,1,1,0.096549785,-0.757796407,-0.493815326,88.0,88.0,0.0,2400000,666,6,0.0,6,2498,3.5,3.5,2.4
481,2491.0,1,1,0.562449069,-0.757796407,2.362567443,34.0,64.0,30.0,1400000,668,5,5.0,10,2503,3.0,3.0,2.428571429
482,2499.0,0,0,-0.236235418,-1.120578168,-0.493815326,85.0,235.0,150.0,6000000,670,0,0.0,0,2511,3.0,3.0,3.0
483,2501.0,1,1,-0.069842816,-0.757796407,0.934376058,183.0,15.0,-168.0,140000,671,10,12.0,22,2513,4.0,4.0,2.8
484,2503.0,1,1,0.096549785,-0.757796407,-0.493815326,12.0,45.0,33.0,420000,672,12,12.0,24,2515,4.0,4.0,4.0
485,2505.0,1,1,-0.003285776,-0.757796407,-0.493815326,4.0,5.0,1.0,100000,673,3,5.0,8,2517,4.0,4.0,3.5
486,2514.0,1,1,0.093221933,-0.757796407,0.934376058,19.0,51.0,32.0,980000,674,10,12.0,22,2527,3.4,4.0,3.166666667
487,2516.0,1,1,0.029992745,-0.757796407,-0.493815326,68.0,33.0,-35.0,470000,675,7,5.0,12,2529,3.666666667,3.666666667,3.6
488,2519.0,0,0,-0.236235418,-1.120578168,-0.493815326,185.0,305.0,120.0,1060000,676,5,0.0,5,2532,3.25,3.5,3.5
489,2521.0,1,1,0.163106826,-0.757796407,-0.493815326,43.0,34.0,-9.0,400000,677,5,5.0,10,2533,3.0,3.0,1.8
490,2522.0,0,0,-0.236235418,-1.120578168,-0.493815326,47.0,27.0,-20.0,330000,679,8,12.0,20,2534,3.5,3.5,3.666666667
491,2523.0,0,0,-0.236235418,-1.120578168,-0.493815326,54.0,38.0,-16.0,530000,680,5,0.0,5,2535,3.5,3.5,3.0
492,2524.1,1,1,-0.230578069,1.056112399,-0.493815326,33.0,37.0,4.0,300000,681,8,8.0,16,2536,3.25,3.25,2.833333333
493,2524.2,1,1,0.129828306,0.693330638,0.934376058,33.0,20.0,-13.0,130000,682,8,8.0,16,2537,3.666666667,3.333333333,3.0
494,2525.0,1,1,-0.216268305,1.056112399,-0.493815326,2.0,2.0,0.0,40000,683,5,4.0,9,2538,3.5,3.0,3.0
495,2526.0,0,0,-0.236235418,-1.120578168,-0.493815326,21.0,12.0,-9.0,180000,684,5,7.0,12,2539,3.5,3.5,3.0
496,2538.0,0,0,-0.236235418,-1.120578168,-0.493815326,74.0,90.0,16.0,1600000,687,6,0.0,6,2552,3.333333333,3.333333333,2.0
497,2541.0,0,0,-0.236235418,-1.120578168,-0.493815326,40.0,85.0,45.0,550000,688,10,5.0,15,2555,4.0,4.0,4.0
498,2542.0,1,1,-0.149711265,1.056112399,0.934376058,19.0,7.0,-12.0,120000,689,5,5.0,10,2556,4.0,4.0,4.0
499,2543.0,1,1,-0.161691532,1.056112399,0.934376058,7.0,7.0,0.0,100000,690,5,10.0,15,2557,4.0,4.0,4.0
500,2547.0,1,1,0.289565203,1.056112399,0.934376058,33.0,66.0,33.0,720000,691,8,0.0,8,2561,4.0,4.0,4.0
501,2549.0,1,1,-0.103121336,1.056112399,0.934376058,88.0,81.0,-7.0,1450000,692,10,10.0,20,2563,4.0,4.0,4.0
502,2555.0,1,1,-0.202956897,0.693330638,-0.493815326,10.0,10.0,0.0,100000,693,5,2.0,7,2570,4.0,4.0,3.0
503,2556.0,1,1,-0.169678377,0.693330638,-0.493815326,312.0,313.0,1.0,2160000,694,9,8.0,17,2571,3.8,4.0,3.833333333
504,2557.0,1,1,-0.123088449,1.056112399,0.934376058,27.0,27.0,0.0,290000,696,5,0.0,5,2572,4.0,4.0,4.0
505,2569.0,1,1,-0.069842816,-0.757796407,-0.493815326,56.0,117.0,61.0,986000,697,8,5.0,13,2585,3.25,3.0,2.333333333
506,2571.0,1,1,-0.216268305,1.056112399,-0.493815326,1.0,1.0,0.0,30000,698,10,5.0,15,2587,4.0,4.0,2.5
507,2573.0,1,1,-0.136399857,1.056112399,3.790758827,2389.0,150.0,-2239.0,42080000,699,10,10.0,20,2589,3.0,3.5,3.0
508,2578.0,0,0,-0.236235418,-1.120578168,-0.493815326,139.0,142.0,3.0,4500000,700,12,12.0,24,2594,3.0,3.25,2.0
509,2584.0,1,1,-0.22358958,1.056112399,-0.493815326,32.0,98.0,66.0,2380000,701,9,5.0,14,2598,4.0,4.0,1.2
510,2592.0,1,0,-0.236235418,-1.120578168,-0.493815326,97.4,115.0,17.6,1550000,702,9,0.0,9,2606,4.0,4.0,1.833333333
511,2593.0,1,1,-0.232907566,1.056112399,-0.493815326,4.0,70.5,66.5,700000,705,8,4.0,12,2607,3.75,3.75,3.25
512,2595.0,1,1,0.083238377,0.693330638,0.934376058,58.5,141.0,82.5,2420000,706,4,5.0,9,2609,4.0,4.0,3.4
513,2621.0,1,1,-0.216068634,1.056112399,-0.493815326,3.0,3.0,0.0,100000,707,10,7.0,17,2634,4.0,4.0,3.0
514,2624.0,1,1,-0.202956897,1.056112399,0.934376058,323.0,188.0,-135.0,8930000,708,8,8.0,16,2638,4.0,4.0,2.166666667
515,2625.0,1,1,-0.186350916,1.056112399,0.934376058,3.0,3.0,0.0,200000,709,7,7.0,14,2639,4.0,4.0,1.8
516,2636.0,1,1,-0.229579714,1.056112399,-0.493815326,33.0,4.5,-28.5,300000,710,8,10.0,18,2654,4.0,4.0,3.5
517,2643.0,1,1,-0.146150463,1.056112399,0.934376058,49.0,49.0,0.0,1700000,713,9,5.0,14,2661,4.0,4.0,3.0
518,2644.0,1,1,-0.199629045,1.056112399,0.934376058,12.0,12.0,0.0,300000,714,10,8.0,18,2662,4.0,4.0,2.0
519,2652.0,0,0,-0.236235418,-1.120578168,-0.493815326,15.0,109.0,94.0,3600000,716,5,4.0,9,2668,3.5,3.5,3.0
520,2656.0,0,0,-0.236235418,-1.120578168,-0.493815326,13.0,15.0,2.0,2400000,717,8,2.0,10,2672,3.75,3.75,4.0
521,2666.0,0,0,-0.236235418,-1.120578168,-0.493815326,81.0,56.0,-25.0,2890000,721,10,10.0,20,2683,3.666666667,3.666666667,3.0
522,2672.0,0,0,-0.236235418,-1.120578168,-0.493815326,2.0,2.0,0.0,200000,723,9,5.0,14,2689,4.0,4.0,2.0
523,2674.0,0,0,-0.236235418,-1.120578168,-0.493815326,74.5,60.5,-14.0,5100000,724,12,12.0,24,2690,3.75,3.75,4.0
524,2684.0,1,0,-0.236235418,-1.120578168,-0.493815326,6.0,126.0,120.0,3320000,727,12,10.0,22,2699,3.333333333,3.333333333,2.4
525,2691.0,0,0,-0.236235418,-1.120578168,-0.493815326,54.0,82.0,28.0,6130000,728,12,12.0,24,2705,4.0,4.0,4.0
526,2700.0,0,0,-0.236235418,-1.120578168,-0.493815326,3.0,63.0,60.0,2820000,730,10,9.0,19,2714,3.333333333,3.333333333,2.0
527,2704.0,1,1,-0.212940453,1.056112399,-0.493815326,2.0,42.0,40.0,290000,733,4,7.0,11,2718,3.5,3.5,2.0
528,2705.0,1,1,0.029992745,1.056112399,3.790758827,10.0,10.5,0.5,100000,734,6,4.0,10,2719,3.666666667,3.333333333,2.333333333
529,2709.0,1,0,-0.236235418,-1.120578168,-0.493815326,398.0,402.0,4.0,4940000,735,6,8.0,14,2723,2.4,2.4,1.833333333
530,2723.0,1,1,-0.227583002,1.056112399,-0.493815326,101.0,74.0,-27.0,1660000,738,9,13.0,22,2737,3.0,3.0,2.666666667
531,2726.0,0,0,-0.236235418,-1.120578168,-0.493815326,20.0,20.0,0.0,300000,739,6,12.0,18,2740,3.5,3.0,3.333333333
532,2731.0,0,0,-0.236235418,-1.120578168,-0.493815326,2.0,3.0,1.0,45000,741,5,3.0,8,2745,3.75,3.75,2.666666667
533,2733.0,1,1,-0.216268305,1.056112399,-0.493815326,5.0,27.0,22.0,490000,743,7,8.0,15,2747,2.666666667,3.333333333,2.6
534,2735.0,0,0,-0.236235418,-1.120578168,-0.493815326,30.0,70.0,40.0,1250000,744,10,10.0,20,2748,3.666666667,3.666666667,2.8
535,2740.0,1,1,0.262942387,-0.757796407,-0.493815326,140.0,105.0,-35.0,1500000,745,6,12.0,18,2751,3.4,3.6,2.833333333
536,2744.0,1,1,-0.219596157,1.056112399,-0.493815326,28.0,44.0,16.0,800000,746,6,5.0,11,2757,2.666666667,3.0,3.0
537,2767.0,0,0,-0.236235418,-1.120578168,-0.493815326,190.0,190.0,0.0,9805000,750,6,8.0,14,2785,2.75,3.25,1.333333333
538,2775.0,1,1,-0.233573136,0.693330638,-0.493815326,10.0,10.0,0.0,490000,752,12,14.0,26,2793,4.0,4.0,2.0
539,2778.0,1,1,-0.202956897,0.693330638,-0.493815326,105.0,127.0,22.0,2350000,755,10,12.0,22,2796,4.0,4.0,3.666666667
540,2780.0,1,1,0.029992745,0.693330638,0.934376058,132.0,132.0,0.0,2080000,756,13,14.0,27,2798,2.666666667,2.666666667,2.0
541,2783.0,0,0,-0.236235418,-1.120578168,-0.493815326,9.0,9.0,0.0,600000,758,5,5.0,10,2801,3.0,3.0,3.0
542,2786.0,1,1,0.762120191,-0.757796407,-0.493815326,163.0,163.0,0.0,5725000,763,8,7.0,15,2805,4.0,4.0,3.0
543,2790.0,1,1,0.163106826,-0.757796407,-0.493815326,56.0,56.0,0.0,860000,764,5,5.0,10,2809,4.0,4.0,4.0
544,2792.0,1,1,-0.201625757,0.693330638,-0.493815326,41.0,131.0,90.0,1345000,765,5,5.0,10,2811,3.333333333,3.333333333,3.0
545,2793.0,1,1,-0.207749004,1.056112399,0.934376058,54.0,9.0,-45.0,500000,767,8,3.0,11,2812,4.0,4.0,3.0
546,2797.0,0,0,-0.236235418,-1.120578168,-0.493815326,160.0,212.0,52.0,3630000,768,13,13.0,26,2816,3.0,3.25,2.666666667
547,2811.0,1,1,-0.114103248,1.056112399,0.934376058,110.0,75.0,-35.0,3450000,769,7,6.0,13,2829,4.0,4.0,4.0
548,2813.0,0,0,-0.236235418,-1.120578168,-0.493815326,76.0,39.0,-37.0,1000000,770,6,0.0,6,2831,3.5,3.0,2.4
549,2814.0,0,0,-0.236235418,-1.120578168,-0.493815326,17.0,40.0,23.0,170000,771,8,6.0,14,2832,3.6,3.4,4.0
550,2819.0,0,0,-0.236235418,-1.120578168,-0.493815326,8.0,8.0,0.0,320000,772,5,8.0,13,2837,4.0,4.0,3.0
551,2832.0,1,1,-0.133737575,1.056112399,2.362567443,166.0,176.0,10.0,1272000,773,10,6.0,16,2849,3.6,3.8,2.6
552,2837.0,1,1,-0.169678377,-0.757796407,-0.493815326,231.0,187.0,-44.0,1426000,775,10,0.0,10,2854,3.2,3.4,2.333333333
553,2838.0,1,0,-0.236235418,-1.120578168,-0.493815326,93.0,93.0,0.0,687000,776,10,12.0,22,2855,4.0,4.0,4.0
554,2845.0,1,1,-0.22292401,1.056112399,0.934376058,39.0,48.0,9.0,555000,777,6,0.0,6,2862,4.0,4.0,4.0
555,2851.0,1,1,-0.209612601,1.056112399,-0.493815326,250.0,240.0,-10.0,1158500,779,10,13.0,23,2868,4.0,4.0,3.2
556,2856.0,1,0,-0.236235418,-1.120578168,-0.493815326,237.0,237.0,0.0,2769000,780,12,12.0,24,2873,3.0,3.0,3.0
557,2860.0,1,1,0.49855431,1.056112399,0.934376058,250.0,208.0,-42.0,2234000,781,12,12.0,24,2878,2.0,3.0,4.0
558,2865.0,0,0,-0.236235418,-1.120578168,-0.493815326,10.0,10.0,0.0,250000,782,6,8.0,14,2882,4.0,4.0,4.0
559,2868.1,1,1,-0.116432745,1.056112399,0.934376058,66.0,66.0,0.0,760000,783,3,0.0,3,2885,3.0,3.5,2.8
560,2868.2,1,1,-0.215030344,1.056112399,-0.493815326,66.0,1.0,-65.0,25000,784,3,0.0,3,2886,4.0,4.0,3.0
561,2885.1,1,1,-0.163022673,1.056112399,-0.493815326,254.0,280.0,26.0,550000,785,5,0.0,5,2904,3.6,3.6,3.0
562,2885.2,1,1,-0.173006229,1.056112399,0.934376058,254.0,280.0,26.0,550000,786,5,0.0,5,2905,2.8,2.8,1.5
563,2886.0,1,1,-0.206284749,1.056112399,2.362567443,114.0,105.0,-9.0,1050000,787,7,5.0,12,2906,3.25,3.25,3.0
564,2888.0,1,1,0.196385346,-0.395014646,0.934376058,223.0,223.0,0.0,820000,788,7,5.0,12,2908,4.0,4.0,4.0
565,2898.0,1,1,0.519107124,1.056112399,0.934376058,65.0,131.0,66.0,420000,791,5,3.0,8,2916,2.2,2.4,2.333333333
