a01,e01,e02,e06_sum,e07,Savings diversification,g02_1,g02,Land Acquired,g10,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household,Year
4494,1,0,-0.236235418,-1.120578168,-0.493815326,1.206748893,1.499289058,0.042661371,-0.448999822,-0.087628598,-1.887394839,-1.236864609,-0.876834376,-0.816181099,-0.547805026,1
4498,1,1,-0.209612601,1.056112399,0.934376058,-0.605873561,-0.700648345,0.042661371,-0.644962219,1.277402799,0.648186894,1.023712776,0.930271042,0.895122396,1.1827291,1
4499,1,0,-0.236235418,-1.120578168,-0.493815326,-0.612417324,-0.708590357,0.042661371,-0.632714569,1.277402799,1.15530324,1.346652402,0.930271042,0.895122396,1.1827291,1
4508,1,1,0.772103747,1.056112399,0.934376058,1.468499428,2.754126999,1.195293292,0.492232066,0.253629251,1.15530324,0.862242963,-0.575650139,-0.245746601,-0.259382672,1
4509.1,1,0,-0.236235418,-1.120578168,-0.493815326,0.447672342,0.355639289,-0.230844509,-0.332647149,-0.087628598,0.394628721,0.21636371,0.026718333,-0.388355225,1.1827291,1
4515.1,1,1,-0.231043968,1.056112399,-0.493815326,-0.474998293,-0.756242431,-0.221076442,-0.687828993,-0.770144296,-1.126720319,-1.075394795,0.32790257,0.324687898,-0.053366704,1
4515.2,1,0,-0.236235418,-1.120578168,-0.493815326,-0.474998293,-0.795952493,-0.269916777,-0.715386205,-0.770144296,-1.126720319,-1.075394795,-0.274465904,0.324687898,1.1827291,1
4516,1,0,-0.236235418,-1.120578168,-0.493815326,-0.494629583,-0.422677915,0.218486579,-0.497071847,0.253629251,1.408861414,1.023712776,-0.876834376,-1.671832846,1.1827291,1
4518,1,1,-0.22292401,0.693330638,-0.493815326,0.159746754,0.228567092,0.042661371,-0.106065627,1.277402799,1.15530324,1.346652402,-0.425058022,-0.388355225,0.688290778,1
4526,1,1,1.494247637,1.056112399,0.934376058,0.290622021,-0.041461325,-0.484814254,-0.081570328,1.277402799,0.648186894,1.023712776,-0.515413293,-0.131659701,0.688290778,1
4530,1,1,0.802054415,1.056112399,0.934376058,-0.337579263,-0.351199805,0.071965572,-0.248444556,1.277402799,0.648186894,1.023712776,-0.425058022,-0.388355225,0.688290778,1
4531,1,1,-0.116432745,0.693330638,-0.493815326,-0.612417324,-0.708590357,0.042661371,-0.617405007,-1.111402145,-0.112487626,-0.590985356,-2.683939795,-3.810962215,-1.90751041,1
